geo,name,year,gdpcapita
afg,Afghanistan,2000,1426.50934
afg,Afghanistan,2001,1312.2368
afg,Afghanistan,2002,1673.64821
afg,Afghanistan,2003,1731.14825
afg,Afghanistan,2004,1713.2018
afg,Afghanistan,2005,1855.22812
afg,Afghanistan,2006,1895.55139
afg,Afghanistan,2007,2132.60481
afg,Afghanistan,2008,2177.91615
afg,Afghanistan,2009,2557.34077
afg,Afghanistan,2010,2848.58606
ago,Angola,2000,5352.49132
ago,Angola,2001,5500.42866
ago,Angola,2002,6149.13438
ago,Angola,2003,6223.38333
ago,Angola,2004,6749.75485
ago,Angola,2005,7592.30709
ago,Angola,2006,8283.14745
ago,Angola,2007,9191.41108
ago,Angola,2008,9889.65518
ago,Angola,2009,9626.73739
ago,Angola,2010,9672.83922
alb,Albania,2000,6558.42258
alb,Albania,2001,7210.04538
alb,Albania,2002,7578.61364
alb,Albania,2003,8024.27537
alb,Albania,2004,8490.54991
alb,Albania,2005,8977.57267
alb,Albania,2006,9577.48492
alb,Albania,2007,10272.64516
alb,Albania,2008,11064.87257
alb,Albania,2009,11435.59511
alb,Albania,2010,11828.37497
and,Andorra,2000,52814.6954
and,Andorra,2001,56647.45065
and,Andorra,2002,58701.07662
and,Andorra,2003,61631.28478
and,Andorra,2004,62814.03238
and,Andorra,2005,64175.8719
and,Andorra,2006,65819.16908
and,Andorra,2007,65192.704
and,Andorra,2008,60531.1931
and,Andorra,2009,57182.71426
and,Andorra,2010,58285.05778
are,UAE,2000,88047.22698
are,UAE,2001,85242.47915
are,UAE,2002,83319.82832
are,UAE,2003,86396.09866
are,UAE,2004,90067.1992
are,UAE,2005,89813.8553
are,UAE,2006,91960.46888
are,UAE,2007,84698.91602
are,UAE,2008,78094.031
are,UAE,2009,69482.12453
are,UAE,2010,68799.93085
arg,Argentina,2000,21810.83619
arg,Argentina,2001,20678.60893
arg,Argentina,2002,18277.79656
arg,Argentina,2003,19736.98231
arg,Argentina,2004,21350.38905
arg,Argentina,2005,23052.59
arg,Argentina,2006,24704.5175
arg,Argentina,2007,26716.74246
arg,Argentina,2008,27570.26577
arg,Argentina,2009,25707.98973
arg,Argentina,2010,28056.25702
arm,Armenia,2000,4860.71825
arm,Armenia,2001,5288.59752
arm,Armenia,2002,5964.33327
arm,Armenia,2003,6779.7368
arm,Armenia,2004,7476.52129
arm,Armenia,2005,8511.01241
arm,Armenia,2006,9640.20116
arm,Armenia,2007,10980.46168
arm,Armenia,2008,11773.80791
arm,Armenia,2009,10157.81885
arm,Armenia,2010,10438.56419
atg,Antigua and Barbuda,2000,25853.23485
atg,Antigua and Barbuda,2001,24259.00936
atg,Antigua and Barbuda,2002,24170.76163
atg,Antigua and Barbuda,2003,25326.21687
atg,Antigua and Barbuda,2004,26468.17333
atg,Antigua and Barbuda,2005,27830.44701
atg,Antigua and Barbuda,2006,30945.55644
atg,Antigua and Barbuda,2007,33336.85979
atg,Antigua and Barbuda,2008,32814.87869
atg,Antigua and Barbuda,2009,28430.15923
atg,Antigua and Barbuda,2010,25826.60864
aus,Australia,2000,45546.30419
aus,Australia,2001,45886.74826
aus,Australia,2002,47144.6969
aus,Australia,2003,48004.27426
aus,Australia,2004,49439.27404
aus,Australia,2005,50323.82948
aus,Australia,2006,50945.63779
aus,Australia,2007,51853.37495
aus,Australia,2008,52538.92042
aus,Australia,2009,52353.57082
aus,Australia,2010,52589.81821
aut,Austria,2000,52517.46107
aut,Austria,2001,53143.62112
aut,Austria,2002,53809.15485
aut,Austria,2003,54262.66063
aut,Austria,2004,55440.73462
aut,Austria,2005,56453.61958
aut,Austria,2006,58131.01608
aut,Austria,2007,60240.1574
aut,Austria,2008,61035.70774
aut,Austria,2009,58788.94457
aut,Austria,2010,59803.37263
aze,Azerbaijan,2000,5652.91901
aze,Azerbaijan,2001,6148.07154
aze,Azerbaijan,2002,6679.78178
aze,Azerbaijan,2003,7318.7397
aze,Azerbaijan,2004,7940.9474
aze,Azerbaijan,2005,10056.51613
aze,Azerbaijan,2006,13382.80963
aze,Azerbaijan,2007,16603.11847
aze,Azerbaijan,2008,17986.23868
aze,Azerbaijan,2009,19260.39807
aze,Azerbaijan,2010,19925.3901
bdi,Burundi,2000,988.06467
bdi,Burundi,2001,982.29729
bdi,Burundi,2002,996.91237
bdi,Burundi,2003,954.10637
bdi,Burundi,2004,963.73197
bdi,Burundi,2005,937.35638
bdi,Burundi,2006,953.30578
bdi,Burundi,2007,950.63619
bdi,Burundi,2008,956.92423
bdi,Burundi,2009,944.66136
bdi,Burundi,2010,947.62142
bel,Belgium,2000,49661.30813
bel,Belgium,2001,50107.04562
bel,Belgium,2002,50830.50141
bel,Belgium,2003,51220.07901
bel,Belgium,2004,52915.96859
bel,Belgium,2005,53931.0984
bel,Belgium,2006,55036.00936
bel,Belgium,2007,56730.34608
bel,Belgium,2008,56634.78441
bel,Belgium,2009,55194.46025
bel,Belgium,2010,56265.01535
ben,Benin,2000,2538.05058
ben,Benin,2001,2588.96065
ben,Benin,2002,2624.71693
ben,Benin,2003,2631.44771
ben,Benin,2004,2663.81673
ben,Benin,2005,2623.1785
ben,Benin,2006,2643.19254
ben,Benin,2007,2720.93466
ben,Benin,2008,2771.27796
ben,Benin,2009,2754.5594
ben,Benin,2010,2733.574
bfa,Burkina Faso,2000,1464.85074
bfa,Burkina Faso,2001,1505.71542
bfa,Burkina Faso,2002,1514.50187
bfa,Burkina Faso,2003,1575.74865
bfa,Burkina Faso,2004,1590.67361
bfa,Burkina Faso,2005,1670.88941
bfa,Burkina Faso,2006,1717.69219
bfa,Burkina Faso,2007,1732.62043
bfa,Burkina Faso,2008,1778.65964
bfa,Burkina Faso,2009,1778.44245
bfa,Burkina Faso,2010,1873.97146
bgd,Bangladesh,2000,2594.17073
bgd,Bangladesh,2001,2696.53287
bgd,Bangladesh,2002,2775.91996
bgd,Bangladesh,2003,2883.41361
bgd,Bangladesh,2004,3009.80039
bgd,Bangladesh,2005,3179.34961
bgd,Bangladesh,2006,3365.82922
bgd,Bangladesh,2007,3576.82402
bgd,Bangladesh,2008,3766.29471
bgd,Bangladesh,2009,3931.6318
bgd,Bangladesh,2010,4125.4639
bgr,Bulgaria,2000,12360.28586
bgr,Bulgaria,2001,13097.34284
bgr,Bulgaria,2002,14180.77345
bgr,Bulgaria,2003,15074.91577
bgr,Bulgaria,2004,16211.61121
bgr,Bulgaria,2005,17522.70718
bgr,Bulgaria,2006,18893.69888
bgr,Bulgaria,2007,20341.2392
bgr,Bulgaria,2008,21773.76281
bgr,Bulgaria,2009,21212.03036
bgr,Bulgaria,2010,21715.87944
bhr,Bahrain,2000,50712.61814
bhr,Bahrain,2001,51285.60742
bhr,Bahrain,2002,50570.68669
bhr,Bahrain,2003,51033.55385
bhr,Bahrain,2004,51564.13976
bhr,Bahrain,2005,51742.52452
bhr,Bahrain,2006,51544.47812
bhr,Bahrain,2007,52029.9827
bhr,Bahrain,2008,52382.05924
bhr,Bahrain,2009,50536.55832
bhr,Bahrain,2010,50704.84797
bhs,Bahamas,2000,35809.90008
bhs,Bahamas,2001,36163.258
bhs,Bahamas,2002,36572.30382
bhs,Bahamas,2003,35540.32688
bhs,Bahamas,2004,35281.75243
bhs,Bahamas,2005,35913.06617
bhs,Bahamas,2006,36219.61497
bhs,Bahamas,2007,36111.97019
bhs,Bahamas,2008,34695.01929
bhs,Bahamas,2009,32721.33578
bhs,Bahamas,2010,32711.37709
bih,Bosnia and Herzegovina,2000,8042.28229
bih,Bosnia and Herzegovina,2001,8163.04151
bih,Bosnia and Herzegovina,2002,8523.8492
bih,Bosnia and Herzegovina,2003,8835.83828
bih,Bosnia and Herzegovina,2004,9435.22034
bih,Bosnia and Herzegovina,2005,9876.18345
bih,Bosnia and Herzegovina,2006,10471.38047
bih,Bosnia and Herzegovina,2007,11199.55834
bih,Bosnia and Herzegovina,2008,11988.35044
bih,Bosnia and Herzegovina,2009,11825.86114
bih,Bosnia and Herzegovina,2010,12138.82997
blr,Belarus,2000,11318.10471
blr,Belarus,2001,11878.88622
blr,Belarus,2002,12526.02397
blr,Belarus,2003,13472.64907
blr,Belarus,2004,15091.04364
blr,Belarus,2005,16600.19864
blr,Belarus,2006,18353.86259
blr,Belarus,2007,20011.91277
blr,Belarus,2008,22124.33048
blr,Belarus,2009,22225.93024
blr,Belarus,2010,24012.6133
blz,Belize,2000,11031.56911
blz,Belize,2001,11261.79789
