geo,name,year,mortality_rate
afg,Afghanistan,2000,129.18
afg,Afghanistan,2001,125.19
afg,Afghanistan,2002,121.06
afg,Afghanistan,2003,116.91
afg,Afghanistan,2004,112.63
afg,Afghanistan,2005,108.38
afg,Afghanistan,2006,104.12
afg,Afghanistan,2007,99.89
afg,Afghanistan,2008,95.72
afg,Afghanistan,2009,91.68
afg,Afghanistan,2010,87.76
ago,Angola,2000,204.36
ago,Angola,2001,198.38
ago,Angola,2002,191.55
ago,Angola,2003,183.84
ago,Angola,2004,175.09
ago,Angola,2005,166.07
ago,Angola,2006,156.4
ago,Angola,2007,147.02
ago,Angola,2008,137.69
ago,Angola,2009,128.71
ago,Angola,2010,120.36
alb,Albania,2000,27.22
alb,Albania,2001,25.83
alb,Albania,2002,24.42
alb,Albania,2003,22.96
alb,Albania,2004,21.46
alb,Albania,2005,19.98
alb,Albania,2006,18.53
alb,Albania,2007,17.12
alb,Albania,2008,15.76
alb,Albania,2009,14.47
alb,Albania,2010,13.26
and,Andorra,2000,8.16
and,Andorra,2001,7.7
and,Andorra,2002,7.27
and,Andorra,2003,6.87
and,Andorra,2004,6.49
and,Andorra,2005,6.12
and,Andorra,2006,5.77
and,Andorra,2007,5.43
and,Andorra,2008,5.1
and,Andorra,2009,4.78
and,Andorra,2010,4.5
are,UAE,2000,11.15
are,UAE,2001,10.86
are,UAE,2002,10.58
are,UAE,2003,10.32
are,UAE,2004,10.06
are,UAE,2005,9.83
are,UAE,2006,9.61
are,UAE,2007,9.4
are,UAE,2008,9.17
are,UAE,2009,8.92
are,UAE,2010,8.66
arg,Argentina,2000,20.0
arg,Argentina,2001,18.4
arg,Argentina,2002,19.07
arg,Argentina,2003,18.38
arg,Argentina,2004,16.67
arg,Argentina,2005,16.2
arg,Argentina,2006,15.64
arg,Argentina,2007,15.78
arg,Argentina,2008,15.57
arg,Argentina,2009,14.97
arg,Argentina,2010,14.57
arm,Armenia,2000,30.6
arm,Armenia,2001,29.09
arm,Armenia,2002,27.67
arm,Armenia,2003,26.3
arm,Armenia,2004,24.99
arm,Armenia,2005,23.71
arm,Armenia,2006,22.51
arm,Armenia,2007,21.35
arm,Armenia,2008,20.27
arm,Armenia,2009,19.24
arm,Armenia,2010,18.27
atg,Antigua and Barbuda,2000,15.47
